Source:;H:\Documents\Werk\Printplaten\Hardware - Driverboard UMCU\Driverboard_UMCU\Driverboard_UMCU.sch;;;;;
Date:;19-11-2019 16:44;;;;;
Tool:;Eeschema (5.1.4)-1;;;;;
Generator:;C:\Program Files\KiCad_stable\bin\scripting\plugins/bom_csv_grouped_by_value.py;;;;;
Component Count:;81;;;;;
;;;;;;
Individual Components:;;;;;;
;;;;;;
Qty;Value;Footprint;Reference(s);LibPart;Datasheet;Function
17;10nF;Capacitor_SMD:C_0805_2012Metric;C1, C2, C3, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21;Device:C_Small;~;
2;10uF;Capacitor_SMD:C_0805_2012Metric;C4, C6;Device:C_Small;~;
2;MCVVT016M101EA1L;Capacitor_SMD:CP_Elec_6.3x5.4;C5, C7;Device:CP_Small;~;
1;MC011368;LED_SMD:LED_0805_2012Metric;D1;Device:LED_Small;~;
2;High - MP000443;LED_SMD:LED_0805_2012Metric;D2, D4;Device:LED_Small;~;
2;Low - 150080BS75000;LED_SMD:LED_0805_2012Metric;D3, D5;Device:LED_Small;~;
1;Input from scanner;Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical;J1;Connector_Generic:Conn_02x06_Odd_Even;~;
1;Output to TR-switch;Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical;J2;Connector_Generic:Conn_02x06_Odd_Even;~;
1;External malf board;Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical;J3;Connector_Generic:Conn_02x05_Odd_Even;~;
1;1uH;Inductor_SMD:L_1812_4532Metric;L1;Device:L_Small;~;
5;NTR5103NT1G;Package_TO_SOT_SMD:SOT-23;Q1, Q2, Q3, Q4, Q5;Device:Q_NMOS_DSG;~;
2;RSC002P03T316;Package_TO_SOT_SMD:SOT-23;Q6, Q9;Device:Q_PMOS_DSG;~;
2;SQ2319ADS-T1_GE3;Package_TO_SOT_SMD:SOT-23;Q7, Q10;Device:Q_PMOS_DSG;~;
2;SQ2318AES-T1_GE3;Package_TO_SOT_SMD:SOT-23;Q8, Q11;Device:Q_NMOS_DSG;~;
7;5k;Resistor_SMD:R_0805_2012Metric;R1, R2, R4, R20, R21, R25, R26;Device:R_Small;~;
8;100k;Resistor_SMD:R_0805_2012Metric;R3, R6, R7, R9, R17, R19, R22, R24;Device:R_Small;~;
5;100R;Resistor_SMD:R_0805_2012Metric;R5, R8, R13, R18, R23;Device:R_Small;~;
2;470R;Resistor_SMD:R_0805_2012Metric;R27, R28;Device:R_Small;~;
1;3k;Resistor_SMD:R_0805_2012Metric;R29;Device:R_Small;~;
3;8.2k;Resistor_SMD:R_0805_2012Metric;R30, R31, R32;Device:R_Small;~;
2;LM4041DYM3-ADJ-TR;Package_TO_SOT_SMD:SOT-23;U1, U2;Reference_Voltage:LM4041LP-ADJ;http://www.ti.com/lit/ds/symlink/lm4041-n.pdf;
